date,foreTotalRadiation,foreWindSpeed,foreWindDirection,foreHumidity,foreTemp,forePressure,OT
2022-09-10 13:30:00,485.8,0.66,89.5,81.9,21.7,1011.6,41.31
2022-09-10 13:45:00,482.8,0.66,89.5,81.8,21.7,1011.5,39.5
2022-09-10 14:00:00,479.9,0.66,89.5,81.7,21.8,1011.3,41.877
2022-09-10 14:15:00,469.9,0.69,85.9,81.8,21.8,1011.2,37.74
2022-09-10 14:30:00,459.9,0.72,82.4,81.9,21.9,1011.1,28.05
2022-09-10 14:45:00,449.9,0.75,78.8,82.0,21.9,1011.0,23.166
2022-09-10 15:00:00,439.8,0.79,75.3,82.0,22.0,1010.9,27.438
2022-09-10 15:15:00,407.6,0.78,77.8,82.0,22.0,1010.8,24.3
2022-09-10 15:30:00,375.3,0.77,80.4,82.0,22.0,1010.8,25.7
2022-09-10 15:45:00,343.1,0.76,82.9,82.1,22.0,1010.7,18.768
2022-09-10 16:00:00,310.8,0.76,85.5,82.1,22.0,1010.7,12.852
2022-09-10 16:15:00,278.8,0.77,84.7,82.2,21.9,1010.7,8.585
2022-09-10 16:30:00,246.8,0.79,83.8,82.3,21.8,1010.7,8.484
2022-09-10 16:45:00,214.8,0.8,83.0,82.4,21.7,1010.7,9.69
2022-09-10 17:00:00,182.8,0.81,82.2,82.6,21.6,1010.7,9.078
2022-09-10 17:15:00,155.4,0.85,82.6,83.6,21.5,1010.7,6.2
2022-09-10 17:30:00,127.9,0.89,83.1,84.6,21.4,1010.8,4.7
2022-09-10 17:45:00,100.5,0.92,83.5,85.6,21.2,1010.8,5.712
2022-09-10 18:00:00,73.1,0.96,84.0,86.6,21.1,1010.9,7.07
2022-09-10 18:15:00,55.9,0.88,85.6,88.4,20.8,1010.9,5.148
2022-09-10 18:30:00,38.6,0.81,87.3,90.3,20.6,1011.0,4.08
2022-09-10 18:45:00,38.6,0.81,87.3,90.3,20.6,1011.0,4.08
2022-09-10 19:00:00,38.6,0.81,87.3,90.3,20.6,1011.0,4.08
2022-09-11 07:00:00,26.5,0.36,88.7,95.9,19.0,1012.9,1.2
2022-09-11 07:15:00,26.5,0.36,88.7,95.9,19.0,1012.9,1.2
2022-09-11 07:30:00,41.1,0.37,87.3,95.9,19.0,1012.9,2.772
2022-09-11 07:45:00,55.7,0.37,86.0,96.0,19.0,1012.9,4.3
2022-09-11 08:00:00,70.3,0.37,84.7,96.0,19.1,1012.9,6.958
2022-09-11 08:15:00,83.3,0.33,91.0,96.0,19.2,1012.8,7.272
2022-09-11 08:30:00,96.3,0.28,97.4,96.0,19.2,1012.7,8.585
2022-09-11 08:45:00,109.4,0.23,103.8,96.1,19.3,1012.6,10.094
2022-09-11 09:00:00,122.4,0.19,110.2,96.1,19.4,1012.4,9.898
2022-09-11 09:15:00,132.7,0.18,153.2,96.0,19.4,1012.3,10.098
